Designator,Mid X,Mid Y,Rotation,Layer
C1,77.851,-57.277,0.0,top
C10,73.885,-55.245,90.0,top
C2,77.851,-58.928,0.0,top
C3,77.851,-60.579,0.0,top
C4,66.929,-60.379,180.0,top
C5,66.929,-62.03,180.0,top
C6,71.83,-67.32,270.0,top
C7,72.25,-55.235,90.0,top
C9,73.885,-51.435,90.0,top
FB1,77.06,-50.8,180.0,top
J1,63.5,-50.8,0.0,top
J2,81.28,-50.8,0.0,top
J3,81.28,-43.175,0.0,top
J4,75.365,-47.385,180.0,top
J5,63.5,-43.175,0.0,top
P1,69.8,-55.91,180.0,top
R1,66.04,-47.435,270.0,top
R2,78.59,-47.86,90.0,top
SW1,68.1,-67.4,180.0,top
SW2,76.7,-67.4,180.0,top
U1,72.39,-60.96,0.0,top
U2,77.06,-53.975,0.0,top
